Source;Target;Type;Weight
0;1;Undirected;0.0362903
0;2;Undirected;0.0362903
1;2;Undirected;0.0241935
1;11;Undirected;0.0201613
2;7;Undirected;0.0362903
2;9;Undirected;0.0362903
2;10;Undirected;0.0846774
3;4;Undirected;0.145161
3;5;Undirected;0.145161
3;6;Undirected;0.145161
3;7;Undirected;0.145161
3;8;Undirected;0.145161
3;9;Undirected;0.145161
3;10;Undirected;0.241935
4;5;Undirected;0.145161
4;6;Undirected;0.145161
4;7;Undirected;0.145161
4;8;Undirected;0.0967742
4;9;Undirected;0.0967742
4;10;Undirected;0.193548
5;6;Undirected;0.145161
5;7;Undirected;0.145161
5;8;Undirected;0.0967742
5;9;Undirected;0.0967742
5;10;Undirected;0.193548
6;7;Undirected;0.193548
6;8;Undirected;0.145161
6;9;Undirected;0.0967742
6;10;Undirected;0.193548
7;8;Undirected;0.145161
7;9;Undirected;0.145161
7;10;Undirected;0.290323
8;9;Undirected;0.0967742
8;10;Undirected;0.0967742
9;10;Undirected;0.290323
9;12;Undirected;0.0645161
10;12;Undirected;0.0806452
