Source;Target;Type;Weight
0;1;Undirected;0.0322581
0;2;Undirected;0.0282258
0;5;Undirected;0.0201613
0;17;Undirected;0.0241935
0;18;Undirected;0.0282258
0;19;Undirected;0.0282258
1;2;Undirected;0.133065
1;5;Undirected;0.0362903
1;7;Undirected;0.0483871
1;10;Undirected;0.0483871
1;17;Undirected;0.0806452
1;18;Undirected;0.0887097
1;19;Undirected;0.0887097
2;5;Undirected;0.0322581
2;7;Undirected;0.0443548
2;10;Undirected;0.0443548
2;17;Undirected;0.0725806
2;18;Undirected;0.0806452
2;19;Undirected;0.0806452
3;4;Undirected;0.0846774
3;6;Undirected;0.0846774
3;13;Undirected;0.0403226
3;14;Undirected;0.0403226
3;15;Undirected;0.129032
3;16;Undirected;0.0846774
3;20;Undirected;0.350806
4;6;Undirected;0.0483871
4;15;Undirected;0.0846774
4;20;Undirected;0.112903
6;13;Undirected;0.0362903
6;14;Undirected;0.0362903
6;15;Undirected;0.0846774
6;16;Undirected;0.0241935
6;20;Undirected;0.112903
7;8;Undirected;0.0483871
7;10;Undirected;0.193548
7;11;Undirected;0.145161
7;17;Undirected;0.0403226
7;18;Undirected;0.0887097
7;19;Undirected;0.0887097
7;21;Undirected;0.0322581
7;22;Undirected;0.0322581
8;10;Undirected;0.0483871
8;11;Undirected;0.0483871
9;12;Undirected;0.0483871
9;19;Undirected;0.0322581
10;11;Undirected;0.145161
10;17;Undirected;0.0403226
10;18;Undirected;0.0887097
10;19;Undirected;0.0887097
10;21;Undirected;0.0322581
10;22;Undirected;0.0322581
11;18;Undirected;0.0443548
11;19;Undirected;0.0443548
11;21;Undirected;0.0322581
11;22;Undirected;0.0322581
12;19;Undirected;0.0322581
13;14;Undirected;0.193548
13;15;Undirected;0.0403226
13;16;Undirected;0.0362903
13;20;Undirected;0.375
14;15;Undirected;0.0403226
14;16;Undirected;0.0362903
14;20;Undirected;0.25
15;16;Undirected;0.0846774
15;20;Undirected;0.350806
16;20;Undirected;0.33871
17;18;Undirected;0.108871
17;19;Undirected;0.108871
18;19;Undirected;0.120968
18;21;Undirected;0.0282258
18;22;Undirected;0.0282258
19;20;Undirected;0.846774
21;22;Undirected;0.016129
