Id;Label
0;Информационные _1(PK-1)
1;Архитектура инф_1(PK-1)
2;Теория алгоритм_1(PK-2)
3;Управление данн_1(PK-3)
4;Теория информац_1(PK-1,UK-1)
5;Клиент-серверно_1(PK-2)
6;Проектирование _1(PK-3)
7;Английский язык_2(UK-4)
8;Технологии обра_2(PK-1)
9;Корпоративные И_2(PK-1)
10;Интеллектуальны_2(PK-1)
11;Технологии внед_3(PK-3)
12;Тестирование и _2(PK-2,PK-9)
13;Разработка ПО Г_1(PK-3,PK-6)
14;Управление ИТ-п_2(PK-8,UK-2)
15;Анализ больших _2(PK-3)
16;Разработка моби_2(PK-2,PK-4)
17;Методы и средст_1(PK-10,PK-4,PK-5)
18;Информационно-в_3(PK-1)
19;Моделирование п_3(PK-1)
20;Инструментальны_2(PK-1,PK-7)
21;Экономическая к_3(UK-9)
22;Основы профилак_3(UK-10)
23;Трехмерное моде_3(PK-1,PK-5)
24;Разработка Web-_3(PK-1)
25;Бизнес-процессы_3(PK-1,PK-5)
26;Обработка медиа_2(PK-1,PK-5)
27;Обработка медиа_2(PK-1,PK-5)
28;Полиграфический_2(PK-1,PK-5)
29;Программные сре_3(PK-2)
30;Графический диз_3(PK-1,PK-10,PK-4)
31;Философия_1(UK-1,UK-5,UK-6)
32;История России_0(UK-5)
33;Всеобщая истори_0(UK-5)
34;Ин Яз_0(UK-4)
35;Ин Яз_1(UK-4)
36;БЖД_1(UK-8)
37;Физика_0(OPK-1)
38;Информатика_0(UK-1)
39;Основы программ_0(OPK-6)
40;Проф деят_0(OPK-2,UK-2)
41;Алгебра и геоме_0(OPK-1)
42;Мат Анализ_0(OPK-1)
43;Дискретная мате_0(OPK-1)
44;Теория вероятно_1(OPK-1)
45;Эффектив реч общ_0(UK-3,UK-4)
46;ИБЗИ_1(OPK-3)
47;Технологии прог_1(OPK-6,OPK-8)
48;Методы и средст_2(OPK-4)
49;Методы и средст_3(OPK-4)
50;Операционные си_2(OPK-2,OPK-5)
51;Физ культ_0(UK-7)
52;Физ культ_2(UK-7)
53;Ознакомительная_0(OPK-4,OPK-5)
54;НИР первично_1(OPK-1,UK-1)
55;Системы дистанц_2(PK-6)
56;Распределенные _2(PK-1)
57;Спортивное прог_2(UK-1)
