Source;Target;Type;Weight
0;5;Undirected;0.0156863
0;6;Undirected;0.0313725
0;7;Undirected;0.054902
0;10;Undirected;0.0156863
0;13;Undirected;0.0196078
0;14;Undirected;0.0313725
0;17;Undirected;0.0313725
0;23;Undirected;0.0196078
0;50;Undirected;0.0137255
1;2;Undirected;0.0196078
1;3;Undirected;0.0235294
1;4;Undirected;0.0588235
1;11;Undirected;0.0117647
1;12;Undirected;0.0156863
1;21;Undirected;0.0235294
1;25;Undirected;0.0117647
1;51;Undirected;0.0294118
2;4;Undirected;0.027451
2;12;Undirected;0.0137255
2;51;Undirected;0.0235294
3;4;Undirected;0.0588235
3;11;Undirected;0.0117647
3;12;Undirected;0.0156863
3;21;Undirected;0.0117647
3;25;Undirected;0.0117647
3;51;Undirected;0.0196078
4;11;Undirected;0.0294118
4;12;Undirected;0.0333333
4;21;Undirected;0.0294118
4;25;Undirected;0.0294118
4;26;Undirected;0.027451
4;27;Undirected;0.027451
4;50;Undirected;0.027451
4;51;Undirected;0.054902
5;6;Undirected;0.0117647
5;7;Undirected;0.0235294
5;8;Undirected;0.0137255
5;10;Undirected;0.0235294
5;13;Undirected;0.0156863
5;14;Undirected;0.0117647
5;17;Undirected;0.0117647
6;7;Undirected;0.0470588
6;10;Undirected;0.0117647
6;13;Undirected;0.0156863
6;14;Undirected;0.0235294
6;17;Undirected;0.0352941
6;23;Undirected;0.0156863
7;10;Undirected;0.0235294
7;13;Undirected;0.027451
7;14;Undirected;0.0470588
7;17;Undirected;0.0470588
7;23;Undirected;0.027451
7;50;Undirected;0.0215686
8;9;Undirected;0.0137255
8;10;Undirected;0.0137255
8;13;Undirected;0.0176471
8;15;Undirected;0.0352941
8;23;Undirected;0.0176471
9;15;Undirected;0.0196078
9;18;Undirected;0.0117647
9;19;Undirected;0.0117647
9;20;Undirected;0.0117647
9;23;Undirected;0.0313725
9;24;Undirected;0.0117647
10;13;Undirected;0.0156863
10;14;Undirected;0.0117647
10;17;Undirected;0.0117647
11;12;Undirected;0.0313725
11;21;Undirected;0.0117647
11;28;Undirected;0.0235294
11;38;Undirected;0.0117647
11;52;Undirected;0.027451
12;21;Undirected;0.0156863
12;28;Undirected;0.027451
12;38;Undirected;0.0156863
12;51;Undirected;0.0137255
12;52;Undirected;0.0313725
13;14;Undirected;0.0156863
13;15;Undirected;0.0137255
13;17;Undirected;0.0156863
13;23;Undirected;0.0196078
14;17;Undirected;0.0235294
14;23;Undirected;0.0156863
15;23;Undirected;0.027451
17;23;Undirected;0.0156863
18;19;Undirected;0.0117647
18;23;Undirected;0.0156863
18;40;Undirected;0.0117647
18;45;Undirected;0.0137255
19;23;Undirected;0.0156863
19;25;Undirected;0.0117647
19;31;Undirected;0.0117647
20;24;Undirected;0.0235294
21;38;Undirected;0.0117647
21;45;Undirected;0.0137255
21;52;Undirected;0.027451
23;50;Undirected;0.0137255
25;31;Undirected;0.0117647
25;51;Undirected;0.0196078
28;38;Undirected;0.0235294
28;52;Undirected;0.0392157
30;32;Undirected;0.0254902
30;34;Undirected;0.0196078
30;42;Undirected;0.0235294
30;46;Undirected;0.0215686
30;49;Undirected;0.0117647
31;47;Undirected;0.0137255
32;42;Undirected;0.0254902
32;49;Undirected;0.0254902
33;39;Undirected;0.0156863
33;41;Undirected;0.0254902
33;49;Undirected;0.0156863
34;42;Undirected;0.0196078
34;46;Undirected;0.0294118
35;36;Undirected;0.0392157
35;37;Undirected;0.0411765
35;48;Undirected;0.0372549
36;37;Undirected;0.0215686
36;48;Undirected;0.0176471
37;48;Undirected;0.0196078
38;45;Undirected;0.0137255
38;52;Undirected;0.054902
40;45;Undirected;0.0137255
41;45;Undirected;0.0235294
41;49;Undirected;0.0215686
41;50;Undirected;0.0196078
42;46;Undirected;0.0215686
42;49;Undirected;0.0117647
45;52;Undirected;0.0294118
47;48;Undirected;0.0156863
