Source;Target;Type;Weight
1;3;Undirected;0.022541
4;18;Undirected;0.0143443
5;10;Undirected;0.0204918
5;15;Undirected;0.079918
6;10;Undirected;0.0184426
6;11;Undirected;0.0184426
6;12;Undirected;0.0163934
6;15;Undirected;0.0491803
7;16;Undirected;0.0286885
10;11;Undirected;0.0409836
10;12;Undirected;0.0184426
10;15;Undirected;0.079918
11;12;Undirected;0.0184426
11;15;Undirected;0.0532787
12;15;Undirected;0.0491803
13;14;Undirected;0.0491803
13;16;Undirected;0.0655738
14;16;Undirected;0.057377
15;16;Undirected;0.383197
16;17;Undirected;0.0307377
21;33;Undirected;0.0143443
21;22;Undirected;0.0184426
24;29;Undirected;0.0184426
24;30;Undirected;0.0286885
24;31;Undirected;0.0184426
24;25;Undirected;0.0163934
25;32;Undirected;0.0184426
25;35;Undirected;0.0143443
26;31;Undirected;0.0184426
29;30;Undirected;0.0307377
29;31;Undirected;0.0204918
30;31;Undirected;0.0307377
32;35;Undirected;0.0163934
36;44;Undirected;0.0245902
40;41;Undirected;0.0143443
40;42;Undirected;0.0122951
41;42;Undirected;0.0143443
