Id;Label
0;Программировани_0(PK-3,PK-4)
1;Программируемые_0(PK-4,PK-5)
2;Программируемые_1(PK-4,PK-5)
3;Цифровая обрабо_0(PK-2,PK-4)
4;Цифровая обрабо_1(PK-2,PK-4)
5;Исследовательск_1(PK-1,PK-2,PK-4,PK-5)
6;Беспроводные и _1(PK-1,PK-2,PK-5)
7;Встраиваемые оп_1(PK-1,PK-3,PK-4)
8;Английский язык_0(UK-4,UK-5)
9;Контрольно-изме_0(OPK-5,OPK-6)
10;Сенсоры и датчи_0(OPK-2,OPK-6)
11;Цифровая электр_0(OPK-4,OPK-5,OPK-6)
12;Микроконтроллер_0(OPK-5,OPK-6,UK-1)
13;Научно-исследов_0(OPK-3,OPK-4)
14;Английский язык_0(UK-4,UK-5,UK-6)
15;Организация нау_1(OPK-4,OPK-8,UK-2,UK-3)
16;Интернет вещей _1(OPK-5,OPK-6)
17;Системы искусст_1(OPK-4,OPK-7)
18;Ознакомительная_0(OPK-3,UK-6)
19;Научно-исследов_1(OPK-1,OPK-4)
20;Академическое п_0(UK-4)
21;Анализ требован_1(UK-3)
