Id;Label
0;Программно-аппа(PK-2,PK-3,PK-5)
1;Междисциплинарн(PK-1,PK-3,PK-4)
2;Управление инфо(PK-1,PK-5)
3;Комплексная защ(PK-1,PK-2,PK-3,PK-5)
4;Администрирован(PK-5)
5;Математическое (PK-4)
6;Модели безопасн(PK-4)
7;Философия(UK-1)
8;История(OPK-17,UK-5)
9;Ин Яз(UK-4)
10;БЖД(UK-8)
11;Основы информац(OPK-1,OPK-11,OPK-4)
12;Операционные си(OPK-12,OPK-9)
13;Компьютерные се(OPK-9)
14;Системы управле(OPK-14,OPK-9)
15;Защита в операц(OPK-9)
16;Защита информац(OPK-4,OPK-9)
17;Основы построен(OPK-15,OPK-4)
18;Основы построен(OPK-14)
19;Методы и средст(OPK-10)
20;Криптографическ(OPK-10)
21;Физ культ(UK-7)
22;Прик Физ культ(UK-7)
23;Правоведение(UK-10,UK-2)
24;Личностное разв(UK-3,UK-6)
25;Эффектив реч общ(UK-4)
26;Экономическая к(UK-9)
27;Проф деят(OPK-1)
28;Организационное(OPK-4,OPK-5,OPK-6)
29;Алгебра(OPK-3)
30;Аналитическая г(OPK-3)
31;Дополнительные (OPK-3)
32;Мат Анализ(OPK-3)
33;Дополнительные (OPK-3)
34;Дискретная мате(OPK-3)
35;Математическая (OPK-3)
36;Теория вероятно(OPK-3)
37;Дифференциальны(OPK-3)
38;ТФКП(OPK-3)
39;Численные метод(OPK-2,OPK-3)
40;Исследование оп(OPK-3)
41;Физика(OPK-4)
42;Сети и системы (OPK-4)
43;Электроника и с(OPK-4)
44;Информатика(OPK-1)
45;Информационные (OPK-1)
46;Аппаратные сред(OPK-2)
47;Языки программи(OPK-7)
48;Языки программи(OPK-7)
49;Технологии и ме(OPK-7)
50;Параллельное пр(OPK-7)
51;Теория информац(OPK-1)
52;Теоретико-число(OPK-3)
53;Защита программ(OPK-13,OPK-16)
54;Открытые информ(OPK-6)
55;Основы научных (OPK-8)
56;Основы управлен(UK-1,UK-2,UK-3)
57;Искусственный и(OPK-3)
58;Документоведени(OPK-1)
59;Английский язык(UK-4)
60;Акмеология(UK-6)
61;Учебно-лаборато(PK-1)
62;Эксплуатационно(PK-5)
63;Ознакомительная(OPK-1)
64;Научно-исследов(OPK-8)
65;Научно-исследов(OPK-8)
66;Подготовка к пр(OPK-1,OPK-10,OPK-11,OPK-12,OPK-13,OPK-14,OPK-15,OPK-16,OPK-17,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-10,UK-2,UK-3,UK-4,UK-5,UK-6,UK-7,UK-8,UK-9)
67;Подготовка к сд(PK-1,PK-2,PK-3,PK-4)
68;Основы стеганог(OPK-13)
69;Цифровая обрабо(OPK-2)
