Id;Label
0;Проф деят(PK-2,UK-3,UK-6)
1;Эффектив реч общ(UK-4)
2;Технологии личн(UK-3,UK-6,UK-9)
3;Объектно-ориент(PK-7)
4;Разработка web-(PK-7)
5;БД(PK-8)
6;Нейронные сети (PK-7,UK-1)
7;Методы искусств(PK-7,UK-1)
8;Агентное модели(PK-7,UK-1)
9;Командный курсо(PK-1,PK-3,PK-4,PK-5,PK-6,UK-1,UK-2,UK-3)
10;Анализ неструкт(PK-4,UK-1)
11;Управление прог(PK-1,PK-7,PK-8,UK-2)
12;Экономическая к(UK-10)
13;Основы профилак(UK-11)
14;Управление треб(PK-1,PK-3,PK-4,PK-7,PK-8)
15;Теория и технол(PK-3,PK-7)
16;Теория эволюцио(PK-2)
17;Хранилища данны(PK-8)
18;Философия(UK-1,UK-5)
19;История России(UK-5)
20;Всеобщая истори(UK-5)
21;Ин Яз(UK-4)
22;БЖД(UK-8)
23;Физика(OPK-1,OPK-2)
24;Информатика(OPK-10,OPK-7)
25;Основы программ(OPK-10,OPK-7)
26;Физ культ(UK-7)
27;Прик Физ культ(UK-7)
28;Алгебра и геоме(OPK-1,OPK-2)
29;Мат Анализ(OPK-1,OPK-2)
30;Дискретная мате(OPK-1,OPK-2)
31;Теория вероятно(OPK-1,OPK-2)
32;Математическая (OPK-1,OPK-2)
33;Математическая (OPK-7)
34;Электротехника (OPK-3,OPK-4)
35;Теория автомати(OPK-3,OPK-7,OPK-8,OPK-9)
36;Теория систем(OPK-6)
37;Статистический (OPK-6,OPK-8)
38;Защита интеллек(OPK-5,UK-2)
39;Методы машинног(OPK-6,OPK-8,UK-1)
40;Методы оптимиза(OPK-7,UK-2)
41;Управление в ор(OPK-7,UK-1)
42;Моделирование с(OPK-3,OPK-6)
43;Часть, формируе()
44;Ознакомительная(OPK-1,UK-6)
45;Научно-исследов(OPK-5,UK-1)
46;Выполнение, под(OPK-1,OPK-10,OPK-2,OPK-3,OPK-4,OPK-5,OPK-6,OPK-7,OPK-8,OPK-9,PK-1,PK-2,PK-3,PK-4,PK-5,PK-6,PK-7,PK-8,UK-1,UK-10,UK-11,UK-2,UK-3,UK-4,UK-5,UK-6,UK-7,UK-8,UK-9)
47;Архитектура выч(OPK-6)
48;Компьютерное зр(UK-1)
