Id;Label
0;Экономика предп_3(UK-2)
1;Цифровая эконом_3(PK-1)
2;Цифровые бизнес_3(PK-3)
3;Моделирование б_3(PK-3,PK-4)
4;Цифровое управл_3(PK-3,UK-2)
5;Технологии анал_3(PK-4)
6;Архитектура циф_3(PK-3,PK-4)
7;Динамическое мо_3(PK-3)
8;Цифровое произв_3(PK-4)
9;Деловой иностра_3(UK-4)
10;Распределенные _3(PK-1,UK-1)
11;Распределенные _4(PK-1,UK-1)
12;Практикум: моде_4(PK-3)
13;Управление цифр_4(PK-1,UK-3)
14;Кибербезопаснос_4(PK-4)
15;Web-программиро_4(PK-5)
16;Практикум: Разр_4(PK-5,UK-1)
17;Бизнес-приложен_4(PK-2,PK-3)
18;Сетевые техноло_4(PK-2)
19;Тренинг "Эффект_4(UK-3)
20;Системы ИТ-мони_4(PK-1)
21;Философия_2(UK-1,UK-5,UK-6)
22;История России_1(UK-5)
23;Всеобщая истори_1(UK-5)
24;Иностранный язы_1(UK-4)
25;Иностранный язы_2(UK-4)
26;Безопасность жи_2(UK-8)
27;Вычислительные _2(OPK-2,OPK-5)
28;Системный анали_1(OPK-6,UK-1)
29;Программировани_1(OPK-5,OPK-7)
30;Программировани_2(OPK-5,OPK-7)
31;Введение в проф_1(OPK-3,OPK-4)
32;Информационные _1(OPK-2)
33;Высшая математи_1(OPK-1)
34;Дискретная мате_1(OPK-1)
35;Теория вероятно_2(OPK-1)
36;Эффективная ком_1(UK-3,UK-4)
37;Информационная _2(OPK-3)
38;Право_2(UK-2)
39;Проектирование _2(OPK-4,OPK-8,OPK-9)
40;Операционные си_2(OPK-2,OPK-5)
41;Физическая куль_1(UK-7)
42;Физическая куль_3(UK-7)
43;Основы проектно_2(OPK-9,UK-2,UK-3)
44;Базы данных_2(OPK-2)
45;Макроэкономика_1(OPK-6)
46;Эконометрика_2(OPK-1)
47;Преддипломая пр_4(OPK-2,OPK-3,OPK-6,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-2,UK-3)
48;Ознакомительная_1(OPK-1,OPK-3,UK-1)
49;Технология разр_3(PK-2,PK-5)
