Id;Label
0;Экономика предп(UK-2)
1;Цифровая эконом(PK-1)
2;Цифровые бизнес(PK-3)
3;Моделирование б(PK-3,PK-4)
4;Цифровое управл(PK-3,UK-2)
5;Технологии анал(PK-4)
6;Архитектура циф(PK-3,PK-4)
7;Динамическое мо(PK-3)
8;Цифровое произв(PK-4)
9;Деловой иностра(UK-4)
10;Распределенные (PK-1,UK-1)
11;Практикум: моде(PK-3)
12;Управление цифр(PK-1,UK-3)
13;Кибербезопаснос(PK-4)
14;Web-программиро(PK-5)
15;Практикум: Разр(PK-5,UK-1)
16;Бизнес-приложен(PK-2,PK-3)
17;Сетевые техноло(PK-2)
18;Тренинг "Эффект(UK-3)
19;Системы ИТ-мони(PK-1)
20;Философия(UK-1,UK-5,UK-6)
21;История России(UK-5)
22;Всеобщая истори(UK-5)
23;Иностранный язы(UK-4)
24;Безопасность жи(UK-8)
25;Вычислительные (OPK-2,OPK-5)
26;Системный анали(OPK-6,UK-1)
27;Программировани(OPK-5,OPK-7)
28;Введение в проф(OPK-3,OPK-4)
29;Информационные (OPK-2)
30;Высшая математи(OPK-1)
31;Дискретная мате(OPK-1)
32;Теория вероятно(OPK-1)
33;Эффективная ком(UK-3,UK-4)
34;Информационная (OPK-3)
35;Право(UK-2)
36;Проектирование (OPK-4,OPK-8,OPK-9)
37;Операционные си(OPK-2,OPK-5)
38;Физическая куль(UK-7)
39;Прикладная физи(UK-7)
40;Основы проектно(OPK-9,UK-2,UK-3)
41;Базы данных(OPK-2)
42;Макроэкономика(OPK-6)
43;Эконометрика(OPK-1)
44;Преддипломая пр(OPK-2,OPK-3,OPK-6,PK-1,PK-2,PK-3,PK-4,PK-5,UK-1,UK-2,UK-3)
45;Ознакомительная(OPK-1,OPK-3,UK-1)
46;Технология разр(PK-2,PK-5)
