Source;Target;Type;Weight
0;4;Undirected;0.0165289
0;35;Undirected;0.0165289
0;40;Undirected;0.018595
0;44;Undirected;0.0289256
1;10;Undirected;0.0268595
1;12;Undirected;0.0165289
1;19;Undirected;0.0165289
1;44;Undirected;0.0289256
2;3;Undirected;0.0268595
2;4;Undirected;0.0165289
2;6;Undirected;0.0289256
2;7;Undirected;0.0165289
2;11;Undirected;0.0206612
2;16;Undirected;0.0165289
2;44;Undirected;0.0289256
3;4;Undirected;0.0227273
3;5;Undirected;0.0227273
3;6;Undirected;0.0702479
3;7;Undirected;0.0227273
3;8;Undirected;0.0289256
3;11;Undirected;0.0268595
3;13;Undirected;0.0227273
3;16;Undirected;0.0227273
3;44;Undirected;0.0702479
4;6;Undirected;0.0247934
4;7;Undirected;0.0123967
4;11;Undirected;0.0165289
4;16;Undirected;0.0123967
4;35;Undirected;0.0123967
4;40;Undirected;0.0144628
4;44;Undirected;0.0495868
5;6;Undirected;0.0247934
5;8;Undirected;0.018595
5;13;Undirected;0.0123967
5;44;Undirected;0.0247934
6;7;Undirected;0.0247934
6;8;Undirected;0.0309917
6;11;Undirected;0.0289256
6;13;Undirected;0.0247934
6;16;Undirected;0.0247934
6;44;Undirected;0.0743802
7;11;Undirected;0.0165289
7;16;Undirected;0.0123967
7;44;Undirected;0.0247934
8;13;Undirected;0.018595
8;44;Undirected;0.0309917
9;23;Undirected;0.0247934
9;33;Undirected;0.0123967
10;12;Undirected;0.0227273
10;15;Undirected;0.0268595
10;19;Undirected;0.0227273
10;20;Undirected;0.0227273
10;26;Undirected;0.0227273
10;44;Undirected;0.0702479
10;45;Undirected;0.0227273
11;16;Undirected;0.0165289
11;44;Undirected;0.0289256
12;18;Undirected;0.0165289
12;19;Undirected;0.0123967
12;33;Undirected;0.0123967
12;40;Undirected;0.0144628
12;44;Undirected;0.0495868
13;44;Undirected;0.0247934
14;15;Undirected;0.0206612
14;44;Undirected;0.0289256
14;46;Undirected;0.0144628
15;20;Undirected;0.0165289
15;26;Undirected;0.0165289
15;44;Undirected;0.0578512
15;45;Undirected;0.0165289
15;46;Undirected;0.0144628
16;17;Undirected;0.0165289
16;44;Undirected;0.0495868
16;46;Undirected;0.0103306
17;44;Undirected;0.0289256
17;46;Undirected;0.0144628
18;33;Undirected;0.0165289
18;40;Undirected;0.018595
18;44;Undirected;0.0289256
19;44;Undirected;0.0247934
20;21;Undirected;0.0103306
20;22;Undirected;0.0103306
20;26;Undirected;0.0123967
20;44;Undirected;0.0247934
20;45;Undirected;0.0123967
23;33;Undirected;0.0247934
25;27;Undirected;0.0268595
25;29;Undirected;0.0206612
25;37;Undirected;0.0247934
25;41;Undirected;0.0227273
25;44;Undirected;0.0247934
26;42;Undirected;0.0144628
26;44;Undirected;0.0495868
26;45;Undirected;0.0123967
27;37;Undirected;0.0268595
28;34;Undirected;0.0165289
28;36;Undirected;0.0268595
28;44;Undirected;0.0289256
28;45;Undirected;0.0165289
29;37;Undirected;0.0206612
29;41;Undirected;0.0309917
29;44;Undirected;0.0330579
30;31;Undirected;0.0413223
30;32;Undirected;0.0433884
30;43;Undirected;0.0392562
30;45;Undirected;0.0371901
31;32;Undirected;0.0227273
31;43;Undirected;0.018595
31;45;Undirected;0.0165289
32;43;Undirected;0.0206612
32;45;Undirected;0.018595
33;40;Undirected;0.0144628
33;44;Undirected;0.0247934
34;44;Undirected;0.0247934
34;45;Undirected;0.0123967
35;40;Undirected;0.0144628
35;44;Undirected;0.0247934
36;40;Undirected;0.0247934
37;41;Undirected;0.0227273
37;44;Undirected;0.0247934
40;44;Undirected;0.053719
41;44;Undirected;0.035124
42;44;Undirected;0.0268595
43;45;Undirected;0.0144628
44;45;Undirected;0.0495868
44;46;Undirected;0.0454545
