Source;Target;Type;Weight
0;1;Undirected;0.0449102
1;2;Undirected;0.0134731
1;3;Undirected;0.0164671
1;4;Undirected;0.0494012
1;5;Undirected;0.0179641
2;3;Undirected;0.011976
2;4;Undirected;0.0239521
3;4;Undirected;0.0299401
3;5;Undirected;0.0164671
4;5;Undirected;0.0164671
10;11;Undirected;0.0134731
11;28;Undirected;0.011976
13;18;Undirected;0.0134731
13;49;Undirected;0.0149701
13;57;Undirected;0.010479
14;15;Undirected;0.0149701
14;17;Undirected;0.0149701
15;17;Undirected;0.0149701
16;18;Undirected;0.011976
18;49;Undirected;0.0164671
19;31;Undirected;0.010479
21;22;Undirected;0.0164671
22;23;Undirected;0.0164671
30;50;Undirected;0.010479
31;60;Undirected;0.010479
32;33;Undirected;0.0179641
32;35;Undirected;0.0254491
32;37;Undirected;0.0179641
33;35;Undirected;0.0224551
33;37;Undirected;0.0149701
34;36;Undirected;0.0209581
34;38;Undirected;0.0134731
34;39;Undirected;0.0149701
34;41;Undirected;0.011976
35;37;Undirected;0.0224551
36;38;Undirected;0.0194611
36;39;Undirected;0.0209581
36;41;Undirected;0.0179641
38;39;Undirected;0.0134731
38;41;Undirected;0.010479
39;41;Undirected;0.011976
39;40;Undirected;0.0149701
40;42;Undirected;0.011976
40;43;Undirected;0.010479
40;58;Undirected;0.0149701
42;58;Undirected;0.011976
43;58;Undirected;0.010479
45;46;Undirected;0.011976
46;48;Undirected;0.011976
48;49;Undirected;0.0149701
50;69;Undirected;0.010479
59;75;Undirected;0.010479
72;73;Undirected;0.0134731
73;74;Undirected;0.0538922
