Id;Label
0;Философия_2(OK-1)
1;История_1(OK-1)
2;Иностранный язы_1(OK-3,OK-4)
3;Иностранный язы_2(OK-3,OK-4)
4;Безопасность жи_2(OK-8)
5;Физическая куль_1(OK-4,OK-7)
6;Физическая куль_3(OK-4,OK-7)
7;Алгебра и геоме_1(DOPK-1,OK-5)
8;Математический _1(DOPK-1,OK-5)
9;Основы программ_1(OK-5,OPK-2,OPK-3)
10;Электротехника _2(OPK-3,OPK-5,PK-18,PK-2,PK-5)
11;Теория автомати_2(OK-5,OPK-3,OPK-4,PK-1,PK-6)
12;Теория автомати_3(OK-5,OPK-3,OPK-4,PK-1,PK-6)
13;Метрология и из_2(OPK-1,PK-1,PK-5)
14;Инфокоммуникаци_2(OK-5,OPK-2,OPK-3,PK-22,PK-6)
15;Моделирование с_3(OK-5,OPK-3,PK-19,PK-20,PK-4,PK-5)
16;Технологические_3(OPK-3,PK-1,PK-18,PK-19,PK-3)
17;Надежность и ди_3(OPK-4,PK-18,PK-2,PK-6)
18;Автоматизация у_3(OK-5,PK-18,PK-19,PK-21)
19;Элементы и устр_3(OK-5,PK-1,PK-2)
20;Экономика и упр_3(OK-2,OK-6,OPK-1)
21;Организация и п_4(OPK-1,PK-3,PK-5)
22;Проектирование _4(OK-5,OPK-4,OPK-5,PK-1,PK-5)
23;Автоматизирован_4(OK-5,OPK-3,PK-19)
24;Физика_1(DOPK-1,OK-5,PK-2)
25;Физика_2(DOPK-1,OK-5,PK-2)
26;Разработка АСУТ_4(OPK-3,PK-1,PK-19)
27;Интеллектуальны_4(OK-5,PK-19,PK-4)
28;Информационное _3(OK-5,OPK-2,OPK-3,PK-1)
29;Программируемые_3(OK-5,OPK-3,PK-1,PK-19,PK-3)
30;Методы оптимиза_2(DOPK-1,PK-3)
31;Теория и практи_1(OK-3,PK-22)
32;Информатика_1(OK-5,OPK-3,PK-19)
33;Экология_1(DOPK-1,OK-5,PK-3)
34;Введение в инже_1(OK-6,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-21)
35;Технология разр_2(OK-4,OK-5,OPK-1,OPK-2,OPK-3,PK-19)
36;Автоматизирован_4(PK-1,PK-5)
37;Автоматизация т_4(OPK-1,PK-4,PK-5)
38;Основы теории с_2(PK-1,PK-4)
39;Химия_2(DOPK-1,OK-5,PK-2)
40;Инженерная и ко_2(OK-5,OPK-3,OPK-5,PK-19)
41;Дискретная мате_1(DOPK-1,OK-5,PK-2)
42;Автоматизирован_4(PK-19,PK-5)
43;Информационные _4(PK-18,PK-19,PK-3,PK-5)
44;Управление каче_3(OPK-1,PK-4,PK-5)
45;SCADA-системы_4(OK-5,OPK-3,PK-19,PK-3)
46;Программное обе_3(OPK-2,OPK-3,PK-19)
47;Проектирование _3(OK-5,OPK-3,PK-1,PK-18,PK-19)
48;Проектирование _4(OK-5,OPK-3,PK-1,PK-18,PK-19)
49;Практика по пол_1(OK-5,OPK-2,OPK-3,PK-4)
50;Практика по пол_2(OK-5,OPK-2,OPK-3,PK-4)
51;Практика по пол_3(OK-4,OK-5,OPK-4,OPK-5,PK-18,PK-19,PK-21,PK-6)
52;Научно-исследов_4(OK-5,PK-18,PK-19,PK-20,PK-21,PK-22)
53;Подготовка к пр_4(DOPK-1,OK-1,OK-2,OK-3,OK-4,OK-5,OK-6,OK-7,OK-8,OPK-1,OPK-2,OPK-3,OPK-4,OPK-5,PK-1,PK-18,PK-19,PK-2,PK-20,PK-21,PK-22,PK-3,PK-4,PK-5,PK-6)
54;Теория поиска и_3(OK-6,OPK-2,PK-1)
55;Алгоритмы и стр_3(OPK-3)
