Source;Target;Type;Weight
2;5;Undirected;0.0102459
2;31;Undirected;0.0143443
2;3;Undirected;0.0368852
3;35;Undirected;0.0204918
6;51;Undirected;0.0143443
7;8;Undirected;0.0614754
7;9;Undirected;0.0286885
7;24;Undirected;0.0368852
7;32;Undirected;0.0163934
7;33;Undirected;0.0327869
7;41;Undirected;0.0409836
7;49;Undirected;0.0163934
8;9;Undirected;0.0389344
8;24;Undirected;0.057377
8;32;Undirected;0.0266393
8;33;Undirected;0.0532787
8;41;Undirected;0.0614754
8;49;Undirected;0.0266393
9;24;Undirected;0.0266393
9;32;Undirected;0.0491803
9;33;Undirected;0.0245902
9;34;Undirected;0.0614754
9;41;Undirected;0.0286885
9;49;Undirected;0.0737705
10;11;Undirected;0.0307377
10;13;Undirected;0.0286885
10;14;Undirected;0.0348361
10;25;Undirected;0.0307377
10;35;Undirected;0.0327869
10;39;Undirected;0.0286885
10;40;Undirected;0.057377
10;50;Undirected;0.0286885
11;13;Undirected;0.0143443
11;14;Undirected;0.0614754
11;25;Undirected;0.0163934
11;35;Undirected;0.0368852
11;38;Undirected;0.0143443
11;39;Undirected;0.0143443
11;40;Undirected;0.0286885
11;50;Undirected;0.0286885
11;12;Undirected;0.102459
12;15;Undirected;0.0491803
12;16;Undirected;0.045082
12;17;Undirected;0.045082
12;18;Undirected;0.0245902
12;19;Undirected;0.0368852
12;28;Undirected;0.0553279
12;29;Undirected;0.0553279
12;46;Undirected;0.0245902
12;47;Undirected;0.0614754
12;51;Undirected;0.0737705
12;54;Undirected;0.0163934
12;55;Undirected;0.0163934
13;35;Undirected;0.0163934
13;38;Undirected;0.0122951
14;25;Undirected;0.0204918
14;35;Undirected;0.067623
14;39;Undirected;0.0184426
14;40;Undirected;0.0368852
14;50;Undirected;0.0553279
15;16;Undirected;0.045082
15;18;Undirected;0.0491803
15;19;Undirected;0.0184426
15;28;Undirected;0.0368852
15;29;Undirected;0.0553279
15;44;Undirected;0.0368852
15;46;Undirected;0.0491803
15;47;Undirected;0.0614754
15;51;Undirected;0.0491803
15;55;Undirected;0.0163934
16;17;Undirected;0.0204918
16;18;Undirected;0.045082
16;19;Undirected;0.0163934
16;28;Undirected;0.0327869
16;29;Undirected;0.0655738
16;46;Undirected;0.045082
16;47;Undirected;0.0737705
16;51;Undirected;0.045082
16;54;Undirected;0.0143443
16;55;Undirected;0.0143443
17;18;Undirected;0.022541
17;19;Undirected;0.0163934
17;47;Undirected;0.0184426
17;51;Undirected;0.067623
18;19;Undirected;0.0184426
18;28;Undirected;0.0184426
18;29;Undirected;0.0368852
18;46;Undirected;0.0245902
18;47;Undirected;0.0614754
18;51;Undirected;0.0983607
19;28;Undirected;0.0245902
19;29;Undirected;0.0245902
19;47;Undirected;0.0286885
19;51;Undirected;0.0184426
19;54;Undirected;0.0102459
20;44;Undirected;0.0122951
20;54;Undirected;0.0102459
21;22;Undirected;0.0122951
21;36;Undirected;0.0163934
21;37;Undirected;0.0245902
21;42;Undirected;0.0163934
21;43;Undirected;0.0245902
21;45;Undirected;0.0184426
21;53;Undirected;0.0553279
22;23;Undirected;0.0163934
22;26;Undirected;0.0163934
22;27;Undirected;0.0163934
22;36;Undirected;0.0327869
22;37;Undirected;0.0122951
22;42;Undirected;0.0163934
22;43;Undirected;0.0122951
22;45;Undirected;0.0184426
22;48;Undirected;0.0327869
22;52;Undirected;0.0122951
22;53;Undirected;0.0922131
23;26;Undirected;0.0409836
23;27;Undirected;0.0409836
23;42;Undirected;0.0204918
23;43;Undirected;0.0163934
23;45;Undirected;0.067623
23;48;Undirected;0.0614754
23;52;Undirected;0.0327869
23;53;Undirected;0.067623
24;32;Undirected;0.0143443
24;33;Undirected;0.0286885
24;41;Undirected;0.0553279
24;49;Undirected;0.0143443
24;25;Undirected;0.0491803
25;30;Undirected;0.0143443
25;35;Undirected;0.0184426
25;39;Undirected;0.0430328
25;40;Undirected;0.0143443
25;50;Undirected;0.0143443
26;27;Undirected;0.0204918
26;36;Undirected;0.0204918
26;42;Undirected;0.0204918
26;43;Undirected;0.0163934
26;45;Undirected;0.045082
26;48;Undirected;0.0614754
26;52;Undirected;0.0163934
26;53;Undirected;0.067623
27;37;Undirected;0.0163934
27;42;Undirected;0.0204918
27;43;Undirected;0.0163934
27;45;Undirected;0.045082
27;48;Undirected;0.0409836
27;52;Undirected;0.0327869
27;53;Undirected;0.067623
28;29;Undirected;0.0368852
28;46;Undirected;0.0368852
28;47;Undirected;0.0430328
28;51;Undirected;0.0184426
28;54;Undirected;0.0204918
28;55;Undirected;0.0102459
29;46;Undirected;0.0368852
29;47;Undirected;0.057377
29;51;Undirected;0.0368852
29;54;Undirected;0.0102459
29;55;Undirected;0.0102459
30;39;Undirected;0.0122951
32;33;Undirected;0.0122951
32;34;Undirected;0.0184426
32;41;Undirected;0.0163934
32;49;Undirected;0.0245902
33;41;Undirected;0.0327869
33;49;Undirected;0.0122951
34;49;Undirected;0.0368852
35;39;Undirected;0.0163934
35;40;Undirected;0.0491803
35;50;Undirected;0.0491803
36;37;Undirected;0.0163934
36;42;Undirected;0.0204918
36;43;Undirected;0.0163934
36;48;Undirected;0.0204918
36;53;Undirected;0.045082
37;42;Undirected;0.0163934
37;43;Undirected;0.0122951
37;53;Undirected;0.0553279
38;50;Undirected;0.0122951
39;40;Undirected;0.0122951
39;50;Undirected;0.0122951
40;50;Undirected;0.0245902
41;49;Undirected;0.0163934
42;43;Undirected;0.0327869
42;45;Undirected;0.022541
42;48;Undirected;0.0204918
42;52;Undirected;0.0163934
42;53;Undirected;0.045082
43;45;Undirected;0.0368852
43;48;Undirected;0.0327869
43;52;Undirected;0.0245902
43;53;Undirected;0.0737705
45;48;Undirected;0.067623
45;52;Undirected;0.0368852
45;53;Undirected;0.0983607
46;47;Undirected;0.0409836
46;51;Undirected;0.0245902
46;54;Undirected;0.0163934
46;55;Undirected;0.0163934
47;51;Undirected;0.0614754
47;54;Undirected;0.0122951
47;55;Undirected;0.0122951
47;48;Undirected;0.0922131
48;52;Undirected;0.0491803
48;53;Undirected;0.112705
49;50;Undirected;0.0491803
52;53;Undirected;0.110656
